Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Minahasa,5345.29,5995.88,5700.87,8002.35,10152.71,8645.46,9320,123.06,219.44,59.6,258.45,399.13,9.15,350,6.51,13.79,-,60.38,35.51,3.07,-,3604.5,3689.26,3529.36,4523.35,6252.46,4670.82,3895,940.25,988.03,1354.26,1819.09,2531.8,2131.61,3249,511.78,563.87,518.17,872.04,589.84,1352.95,777,121.36,375.23,187.81,298.84,229.42,214.07,696,29.38,94.37,27.44,131,81.56,188.1,292,-,-,0.79,5.44,-,-,-,8.45,51.88,23.44,33.75,33,75.68,61
Kepulauan Sangihe,2324.49,1907.61,1834.95,2520.15,2790.47,2987.66,2640,227.06,1.44,-,-,19.6,115.14,-,-,-,-,-,-,-,-,748.76,646.04,657.06,767.63,658.06,1235.97,359,749.91,666.46,828.85,1079.81,1010.42,1209.65,1521,284.03,475.77,349.03,672.71,815.01,396.47,724,314.73,89.33,-,-,149.46,30.44,2,-,28.56,-,-,137.91,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kepulauan Talaud,3846.85,3435.59,3396.4,5966.99,8543.95,7303.98,4514,132.27,95.28,26.65,38.76,152.03,206.39,-,31.8,1.82,3.71,-,52.71,-,-,2580.07,1952.79,1534.91,2855.97,3769.76,3030.22,1607,985.15,1292.33,1413.42,2239.41,3902.2,2806.8,2313,100.37,48.68,385.08,730.13,517.27,613.9,197,10.88,44.69,32.62,81.55,139.66,468.49,-,-,-,-,-,10.31,178.18,-,-,-,-,-,-,-,398,6.31,-,-,21.17,-,-,-
Minahasa Selatan,5298.88,6562.46,6612.46,7403.79,9355.44,8142.84,5332,209.49,151.06,83.74,15.92,161.61,89.7,77,26.68,6.45,8.04,-,-,-,-,3694.91,4289.61,4474.41,5054.61,6244.72,4820.01,1729,441.12,662.57,1286.16,1264.11,1484.62,1695.46,2384,441.86,600.51,388.02,760.99,843.47,531.03,503,466.14,765.9,257.4,283.91,451.96,898.75,598,-,45.69,88.38,-,152.47,46.31,41,-,-,-,-,-,-,-,18.68,40.67,26.31,24.26,16.59,61.58,-
Minahasa Utara,4459.63,4985.18,6316.92,6838.59,7883.31,7678.3,7050,214.86,359.24,38.41,56.16,296.99,281.49,166,8.9,-,21.76,14.99,-,-,-,2458.57,2629.12,3244.85,3318.67,2534.15,3251.72,2382,1334.59,1550.18,1964.2,1994.39,2909.93,2719.42,3364,283.82,426.18,950.3,1270.84,1820.55,995.59,637,146.91,20.46,83.61,22.89,-,172.15,60,11.99,-,-,155.5,257.29,238.48,360,-,-,-,-,3.97,-,-,-,-,13.78,5.15,60.44,19.44,81
Bolaang Mongondow Utara,2253.6,3316.73,2552.9,3979.32,3656.88,2639.09,2979,629.66,1078.79,838,1327.13,765.57,361.75,602,-,79.9,31.7,85.65,-,-,-,16.04,112.36,66.22,306.2,327.16,74.78,56,914.8,925.97,844.7,1338.88,1325.26,1055.4,1139,443.16,1104.32,772.29,921.47,1054.3,1022.99,1106,249.94,-,-,-,-,85.69,-,-,-,-,-,103.52,38.48,73,-,-,-,-,20.34,-,-,-,15.39,-,-,60.74,-,3
Siau Tagulandang Biaro,2789.69,1360.8,3240.48,2681.66,3684.91,5406.94,6289,-,-,91.5,-,-,-,-,42.72,-,-,-,298.24,-,-,1129.94,684.4,1726.73,1426.65,1350.33,2299.74,1798,873.38,254.88,1182.94,853.13,865.62,2328.78,3329,654.51,421.52,239.32,401.89,1031.17,605.63,1118,50.92,-,-,-,46.82,104.43,-,18.54,-,-,-,92.73,68.35,45,-,-,-,-,-,-,-,19.68,-,-,-,-,-,-
Minahasa Tenggara,4259.07,4830.02,4387.42,6868.16,7836.86,7055.68,5754,106.77,206.21,91.12,171.16,186.94,99.08,39,-,18.25,-,-,-,-,-,2091.46,2851.82,2514.81,4118.4,3877.73,4204.3,1815,737.85,861.08,828.25,1064.86,1946.42,1440.34,2201,955.81,615.49,528.55,1274.92,1298.45,946.3,1235,289.32,225.46,223.33,228.14,409.22,232.68,451,-,-,31.48,4.46,104.44,118.61,12,-,-,-,-,9.95,-,-,77.86,51.7,169.87,6.22,3.71,14.37,1
Bolaang Mongondow Selatan,907.05,1775.94,852.43,1038.47,2990.05,1914.25,1240,121.74,400.42,133.21,184.18,332.06,223.81,41,-,-,-,-,19.02,36.75,-,28.56,84.46,1.33,-,-,192.43,18,264.26,479.79,322.53,363.09,1496.79,843.96,473,492.5,811.27,395.36,491.21,1092.15,617.31,705,-,-,-,-,-,-,-,-,-,-,-,46.48,-,-,-,-,-,-,-,-,3,-,-,-,-,3.55,-,-
Bolaang Mongondow Timur,2282.84,2864.42,3072.72,3574.51,6803.03,4537.68,3678,436.4,353.57,392.31,445.27,711.03,818.1,581,27.85,3.07,85.54,-,-,-,-,439,661.39,820.52,646.05,1273.42,1496.04,518,644.38,900.88,759.97,1184.98,2642.42,1431.22,1504,681,813.91,942.98,1179.53,2028.08,656.56,960,54.2,111.81,71.4,79.39,42.91,107.91,67,-,-,-,3.4,98.04,27.85,48,-,-,-,-,-,-,-,-,19.79,-,35.89,7.13,-,-
Kota Manado,5418.77,4597.05,5550.77,6141.18,9283.57,6659.41,7612,567.27,312.59,367.03,306.57,459.7,266.91,194,17.65,19.75,-,5.62,38.37,20.48,-,2108.14,1722.83,2120.74,2544.48,4015.02,1902.32,2658,2396.74,2020.5,2562.34,2843.01,3706.68,3495.68,3647,199.87,385.58,276.33,247.8,377.72,488.5,626,103.91,68.87,47.05,16.43,61.8,14.07,9,-,11.01,-,13.3,610.06,449.94,435,12.2,-,-,-,3.97,4.47,3,13,55.92,177.27,163.96,10.25,17.05,39
Kota Bitung,3614.93,4110.96,3226,6077.78,6024.73,5911.81,5365,225.96,31.47,17.45,34.69,78.08,170.25,414,17.04,-,-,-,-,-,-,958.64,798.71,702.87,1795.59,1393.11,1556.54,428,2097.36,3099.47,2219.95,3757.75,4198.75,3718.61,3482,220.53,88.27,230.06,330.18,219.53,280.34,342,41.6,15.25,39.09,3.15,1.8,-,10,-,-,2.82,-,111.86,149.79,583,17.99,-,-,93.1,-,-,-,35.82,77.78,13.76,63.31,21.6,36.27,108
Kota Tomohon,6005.91,7512.21,7754.52,8539.43,9279.36,9391.09,9283,123.39,187.28,242.61,132.54,115.55,130.69,143,25.81,-,-,-,-,-,37,3833.57,4609.97,4803.01,5162.53,5746.17,5822.78,4056,1104.57,1462.76,1329.25,1590.96,2312.49,1953.48,3726,623.45,702.88,610.33,993.7,515.83,1275.11,973,209.25,45.89,134.89,168.75,112.43,22.46,76,-,-,-,36.9,189.88,103.6,238,11.89,23.66,89.59,56.04,-,10.68,13,73.99,479.77,544.84,398.03,287,72.29,20
Kota Kotamobagu,2216.47,2555.29,2259.74,2811.59,3233.09,2547.31,4067,727.5,199,369.25,380.97,574.13,190.12,230,16.45,-,-,-,-,44.38,-,320.73,424.2,56.71,231.94,157.84,363.1,401,655.08,841.06,599.81,834.25,1178.83,1091.45,1519,496.72,915.72,1176.12,1268.82,1196.83,644,1596,-,5.15,-,55.72,44.96,93.56,11,-,-,-,12.79,80.41,95.15,173,-,8.88,22.63,-,0.09,-,-,-,161.27,35.23,27.11,-,25.55,137
Banggai Kepulauan,1636.5,1660.8,2186.94,2552.32,1286.59,1598.45,2365,154.32,167.38,101.85,504.28,91.11,60.69,240,-,17.1,1.18,1.76,1.39,3.18,-,139.51,160.92,308.68,391.58,224.14,195.13,96,192.96,441.28,862.08,592.77,240.7,202.42,625,830.54,765.28,900.98,995.68,674.99,1133.19,752,319.16,95.39,12.17,66.25,26.37,3.84,652,-,-,-,-,27.89,-,-,-,-,-,-,-,-,-,-,13.44,-,-,-,-,-
Banggai,2679.77,1687.01,3080.04,2373.3,3305.4,2537.34,4994,493.41,157.43,818.05,116.93,123.06,218.8,193,1.97,-,9.29,-,-,-,-,133.8,183.71,153.35,610.05,408.08,358.34,944,1283.66,831.53,1040.14,770.24,1850.5,1133.73,1984,637.32,495.4,970.16,865.37,860.34,761.62,1645,90.85,11.83,32.82,-,60.89,-,34,-,-,-,-,-,64.32,33,-,-,-,-,-,-,-,38.76,7.1,56.23,10.7,2.52,0.54,161
Morowali,4088.73,2986.18,2940.01,4622.17,5390.9,4673.48,4105,392.28,543.91,419.49,220.74,563.7,568.28,180,39.49,-,-,51.32,-,-,-,430.16,46.19,266.87,498.17,146.79,355.26,-,2151.91,1210.61,1494.28,3148.89,3167.16,2336.52,2215,778.86,1176.97,741.95,513.52,1272,984.91,1428,249.5,8.5,-,70.14,18.03,9.91,189,-,-,-,-,23.65,418.61,79,19.22,-,-,29.37,8.97,-,-,27.31,-,17.42,90.02,190.59,-,15
Poso,3746.14,3771.73,5194.85,5382.43,7154.2,9157.11,6804,264.59,156.42,179.93,306.19,631.18,504.41,567,-,2.38,-,28.16,46.16,-,-,1650.37,1396.56,2155.81,2145.97,2796,2798.46,1274,760.59,1049.55,1405.78,1208.98,2221.89,3054.98,2940,1033.57,1066.42,1266.11,1581.35,1397.43,1926.65,1829,34.62,69.69,149.59,110.19,58.45,826.6,87,-,-,37.63,1.59,3.1,46.02,100,-,-,-,-,-,-,-,2.41,30.72,-,-,-,-,7
Donggala,1098.16,1502.97,1763.15,1697.63,1863.2,1485.99,3811,247.4,144.99,264.55,160.19,229.17,175.44,215,-,-,56.61,16.93,19.32,13.9,4,75.27,140.09,96.59,188.45,160.2,93.16,2171,262.36,630.79,456.06,725.35,696.33,788.45,891,460.75,547.23,834.71,587.98,609.8,404.72,442,52.38,28.2,51.04,6.81,60.88,-,-,-,-,-,-,87.5,10.33,31,-,-,-,-,-,-,36,-,11.67,3.58,11.91,-,-,21
Toli-Toli,1372.8,1824.62,2392,1704.02,2637.86,2455.62,1207,254.85,269.8,505.94,33.15,620.84,312.77,79,-,55.7,-,-,-,-,-,86.24,130,35.77,148.52,138.82,97.25,31,615.39,802.85,1261.56,1015.11,1408.49,1463.28,505,395.85,493.8,546.26,438.42,425.39,355.04,470,20.47,72.46,22.4,68.83,36.23,77.12,37,-,-,-,-,-,118.95,84,-,-,-,-,4.8,-,-,-,-,20.07,-,3.3,31.21,-
Buol,2026.68,2554.32,4249.76,2442.13,1889.11,2096.9,3540,685.99,205.56,718.87,390.68,377.69,507.32,497,28.44,-,5.04,-,23.42,-,-,37.6,134.44,30.79,287.16,132.32,38.87,35,714.29,1050.65,2287.49,916.06,520.2,1106.48,1793,512.84,1145.05,1118.5,831.85,762.28,438.32,1168,47.51,3.69,86.29,16.39,73.2,-,-,-,-,-,-,-,5.92,48,-,-,-,-,-,-,-,-,14.92,2.78,-,-,-,-
Parigi Moutong,1402.69,1471.62,2089.83,2478.62,3553.79,2159.01,5535,203.64,82.65,399.02,239.91,445.06,49.44,301,29.47,28,21.34,-,105.16,1.37,46,266.22,343.46,331.34,477.04,511.96,340.59,1558,318.84,518.22,710.76,989.34,1235.55,1222.43,1473,530.37,488.69,564.28,647.77,1197.84,513.02,1942,-,-,63.09,56.42,11.44,3.66,151,-,-,-,24.19,15.84,-,14,-,-,-,31.89,-,28.51,37,54.15,10.59,-,12.06,30.93,-,15
Tojo Una-Una,1571.04,2599.22,1574.41,2160.1,2618.12,1731.4,1951,172.09,645.96,81.74,233.14,389.11,176.69,165,-,-,-,-,-,74.68,-,180.58,77.25,37.9,106.49,86.55,93.65,71,537.48,851.07,915.21,1146.77,1365.69,832.57,791,619.07,967.56,445,666.97,749.11,386.48,916,61.81,56.48,87.09,6.74,27.66,152.93,-,-,0.9,-,-,-,-,9,-,-,-,-,-,-,-,-,-,7.47,-,-,14.41,-
Sigi,2104.72,2863.15,2399.34,4125.79,3126.7,3042.21,2936,476.03,403.69,176.21,264.85,453.87,298.29,202,-,-,-,59.99,6.14,5.41,4,283.67,509.43,906.22,892.08,909.53,723.62,503,665.18,947.75,419.09,1303.89,1055.08,1207.37,1396,673.09,766.41,704.92,1260.13,645.2,703.53,761,0.23,198.17,169.97,325.8,31.48,85.67,35,-,-,-,-,20.28,16.25,34,-,-,7.86,-,-,2.07,-,6.53,37.69,15.07,19.05,5.11,-,-
Banggai Laut,2125.35,1318.83,741.62,1463.19,1888.67,1847.03,2171,483.03,512.32,6.11,171.14,142.6,32.27,227,-,-,-,12.67,-,-,13,9.97,12.25,6.5,30.34,86.04,247.23,147,690.57,316.84,204.99,625.67,706.65,846.17,556,941.78,466.4,524.02,618.55,801.3,721.36,1209,-,11.03,-,4.83,145.27,-,19,-,-,-,-,-,-,-,-,-,-,-,6.81,-,-,-,-,-,-,-,-,-
Morowali Utara,3747.2,3538.54,4384.78,6194.27,8648.39,6859.24,8200,519.63,176.28,179.32,314.15,289.12,361.45,952,183.89,-,-,19.6,85.45,-,-,1174.66,870,1388.93,2055.72,2567.58,1392.1,930,566.55,776.34,1646.12,2448.64,3210.78,2947.73,3747,1229.75,1610.25,1057.66,1274.97,2451,1910.72,1743,65.11,105.67,108.4,51.95,26.51,224.75,636,2.42,-,-,-,11.47,22.49,164,-,-,4.36,23.47,3.24,-,-,5.19,-,-,5.76,3.24,-,28
Kota Palu,3640.73,3895.71,2854.52,3616.34,4900.28,5666.09,4465,720.73,892.44,538.18,656.61,1255.95,1041.53,305,4.45,-,208.81,-,101.74,115.81,-,190.85,149.32,33,207.78,320.57,43.67,70,2135.61,2540.19,1604.36,2291.8,2311.14,3593.72,2618,469.21,234.41,350.02,339.28,586.05,178.54,627,56.82,21.47,-,-,148.05,380.92,458,-,31.54,32.78,97.41,173.56,311.9,375,-,-,-,6.76,-,-,12,63.06,26.34,87.37,16.69,3.23,-,-
Kepulauan Selayar,230.16,1949.5,1350.14,1081.95,1603.72,1996.83,3886,60.64,172.07,198.98,67.02,91.1,216.5,378,-,-,-,-,-,12.15,3,-,-,-,-,-,-,-,169.52,1081.71,550.99,678.92,667.19,1446.63,1899,-,654.46,600.17,265.29,430.99,180.15,652,-,41.25,-,69.43,381.26,-,877,-,-,-,1.29,27.86,141.4,69,-,-,-,-,5.31,-,-,-,-,-,-,-,-,6
Bulukumba,1843.74,2061.91,2361.56,2964.25,3436.83,2306.41,4000,147.74,262.61,415.9,357.73,452.27,337.45,340,27.41,0.35,8.89,15.79,6.64,19.12,-,83.24,-,-,2.45,-,-,-,909.25,1048.19,943.26,1340.6,1533.75,1339.73,2380,617.02,726.51,809.47,1032.15,1101.7,353.93,1018,57.95,16.53,164.95,156.76,279.1,202.46,132,-,-,-,34.76,34.85,53.72,120,-,-,19.09,7.47,6.53,-,-,1.12,7.72,-,16.53,22,-,10
Bantaeng,1659.3,1890.81,3118.52,2464.89,2796.07,3107.34,4169,43.54,9.31,27.57,105.52,197.19,52.68,750,-,3.44,-,29.96,42.78,99.29,-,-,-,24.26,-,5.23,-,9,894.02,1098.11,1813.16,1249.13,1579.97,2009.39,1833,585.02,626.87,886.92,1056.28,932.47,716.98,1246,136.72,131.55,290.38,-,35.13,79.57,195,-,-,15.56,-,-,136.12,73,-,-,-,-,3.3,-,-,-,21.53,60.67,24,-,13.31,62
Jeneponto,2478.58,2845.4,2538.79,3304.95,3613.07,3628.27,1970,-,67.1,26.12,49.38,1.82,221.34,24,53.12,7.29,-,-,17.34,27.98,-,-,-,8.75,5.76,6.31,-,-,1276.24,838.67,904.24,1328.34,1742.44,1802.43,913,831.83,1467.21,1046.46,1315.13,1320.37,1003.75,761,228.6,465.14,523.43,526.83,470.36,481.16,246,67.28,-,-,73.58,33.23,91.61,25,-,-,-,-,-,-,-,21.51,-,29.8,5.95,21.19,-,1
Takalar,1890.4,1746.76,1562.22,2506.2,2788.09,3432.36,3508,168.37,297.02,316.93,236.86,378.02,66.57,288,-,-,-,-,-,-,-,-,-,-,9.89,0.82,-,-,1268.51,1019.09,912.57,1618.98,999.34,2542.36,2263,216.5,375.31,276.73,371.77,949.02,534.44,667,140.97,-,39.71,199.5,419.06,181.55,96,-,-,-,-,41.83,107.43,55,6.57,55.34,-,4.78,-,-,-,89.49,-,16.28,64.42,-,-,139
Gowa,2325.75,2664.02,3402.54,3513.41,3321.51,3921.76,4558,109.85,127.52,391.45,183.85,451.43,344.99,315,-,-,-,5.59,-,-,22,-,-,27.02,-,-,-,-,1900.42,1827.38,2697.75,2379.2,2298.83,2731.58,3506,212.4,489.99,244.47,913.97,326.48,524.9,533,92.64,217.37,22.22,29.03,70.53,175.96,47,8.17,-,12.54,-,166.04,106.96,125,-,-,-,-,5.95,6.59,-,2.28,1.76,7.1,1.77,2.25,30.79,9
Sinjai,1432.42,1599.11,1971.07,3158.81,1228.89,2434.96,2675,56.14,295.85,300.17,701.4,150.93,520.78,478,-,-,-,22.62,11.31,-,88,-,-,-,-,-,-,-,571.93,792.91,976.34,1630.33,507.16,1068.61,1076,757.65,477.99,683.12,781.54,537.59,842.27,982,40.59,32.35,11.44,15.53,16.09,-,14,-,-,-,-,-,-,37,-,-,-,-,5.82,3.3,-,6.1,-,-,7.39,-,-,-
Maros,2164.43,2344.6,3948.23,3098.12,4657.32,4412.72,4954,61.57,382.85,155.11,217.93,484.42,593.15,477,-,-,-,-,12.18,-,144,-,10.69,-,-,-,-,7,1782.69,1664.81,3449.58,2488.75,3424.18,2742.07,3048,109.52,214.43,274.63,309,357.39,342.25,256,114.72,56.72,68.91,54.96,261.48,608.59,943,7.69,-,-,2.7,95.26,105.72,74,-,-,-,-,-,-,-,88.24,15.11,-,24.78,22.41,20.94,5
Pangkajene dan Kepulauan,2237.98,2340.58,3396.98,4965,6236.47,7170.53,6438,145.99,178.09,204.9,173.83,612.52,625.33,839,-,-,69.1,-,67.13,-,-,19.65,-,12.93,12.27,-,13.71,2,1826.24,1833.12,2752.38,3727.54,4841.68,4926.5,4981,190.49,219.59,266.53,608.33,581.21,1028.31,430,55.61,68.74,69.93,419.28,-,382.68,119,-,-,-,-,133.93,167.94,53,-,29.46,-,-,-,-,-,-,11.58,21.21,23.74,-,26.07,13
Barru,1015.17,1415.91,2113.17,2627.84,3793.37,3563.47,3042,107.65,48.55,112.9,251.6,421.48,427.88,247,-,-,-,-,-,-,-,26.88,-,-,-,-,-,-,788.86,950.57,1245.16,1760.68,1820.98,2281.13,1974,44.23,409.11,744.34,206.8,1054.1,658.6,376,23.33,7.68,6.93,377.17,477.06,135.3,222,-,-,-,31.59,19.75,55.59,223,-,-,-,-,-,-,-,24.23,-,3.83,-,-,4.97,-
Bone,1059.42,1032.56,1628.01,2376.61,2074.97,1231.02,1196,120.8,155.58,208.23,138.97,263.82,67.73,131,13.41,1.6,-,-,-,-,-,5.72,-,6.96,-,-,-,-,647.32,577.36,1002.47,1542.1,1046.3,865.54,770,100.66,265.37,334.83,485.28,530.91,86.23,150,163.76,32.66,52.39,160.71,118.02,119.81,73,3.54,-,23.12,16.47,67.72,50.8,72,-,-,-,-,9.27,-,-,4.2,-,-,33.07,38.93,40.91,-
Soppeng,1585.72,1934.08,2019.34,3177.38,3256.87,3928.03,3524,0.85,275.57,54.14,470.15,286.82,267.62,113,-,-,-,8.96,-,-,-,-,14.36,-,-,-,-,-,897.49,1312.24,1183.12,1852.5,1658.38,2566.01,1941,157.25,151.88,567.74,430.02,507.69,438.95,268,530.14,180.03,214.34,384.84,581.73,452.06,940,-,-,-,29.22,222.25,203.38,262,-,-,-,-,-,-,-,-,-,-,1.7,-,-,-
Wajo,1804.96,2433.25,1978.98,2457.49,3079.56,3134.15,2395,137.34,110.09,173.55,162.9,204.09,153.82,60,-,-,13.59,24.42,6.79,17.32,-,-,-,-,-,-,13.74,-,1431.68,1914.15,1630.44,1967.66,2430.06,2648.65,2105,119.56,290.4,72.35,231.52,29.73,175.75,147,116.37,92.35,32.32,57.04,322.29,36.4,17,-,23.72,-,12.38,86.61,88.46,66,-,-,-,-,-,-,-,-,2.55,56.73,1.56,-,-,1
Sidenreng Rappang,3272.95,3298.63,4210.31,3998.84,4142.9,4161.32,5057,130.72,38.47,90.36,419.21,441.32,222.09,61,-,4.65,4.02,17.82,-,-,-,-,-,36.23,-,-,-,-,2099.52,2409.23,2545.49,2318.03,2163.19,2580.67,3328,694.82,370.22,1053.55,558.47,296.39,372.3,344,330.05,461.82,432.54,652.36,1127.88,807.99,1132,9.56,-,22.77,32.94,114.12,173.29,192,-,-,-,-,-,-,-,8.29,14.25,25.36,-,-,4.99,-
Pinrang,2162.57,1621.37,1827.35,2765.36,1988.23,3186.61,2994,272.5,79.02,43.41,176.28,232.45,201.64,69,72.67,-,-,12.12,-,-,-,29.93,-,-,7.3,12.32,-,-,1264.6,1331.4,1356.09,2037.73,1421.42,2011.12,2197,396.72,142.36,299.39,313.09,164.4,351.47,259,109.72,68.6,112.87,195.99,128.44,375.24,177,-,-,4.65,11.75,29.2,240.29,286,-,-,-,-,-,3.14,-,16.41,-,10.94,11.11,-,3.7,6
Enrekang,2730.42,1630.27,3189.13,3402.9,2890.12,4250.44,4317,133.85,216.72,55.95,393.15,775.65,829.02,805,-,-,-,36.03,41.31,-,-,-,-,-,-,-,-,-,748.29,869.73,1612.33,1722.59,1368.9,2608.83,2369,1818.61,543.82,1520.85,1227.56,619.86,623.96,798,10.85,-,-,23.57,-,55.34,1,18.82,-,-,-,84.4,95.66,342,-,-,-,-,-,-,-,-,-,-,-,-,37.64,2
Luwu,3031.58,3602.88,3062.75,4260.26,4257.09,4164.12,4627,209.66,572.76,328.44,582.48,642.11,658.52,572,1.8,13.71,-,66.55,240.84,-,-,66.77,260.05,67.82,310.77,151.3,82.69,46,1573.49,1770.83,1709.29,2217.03,2196.87,1909.48,2501,808.64,625.23,754.74,1002.56,770.88,770.28,1064,299.72,348.91,164.86,69.81,114.19,666.92,336,53.77,11.39,19.88,-,38.57,3.34,85,-,-,-,-,-,-,11,17.72,-,17.71,11.06,102.33,72.88,11
Tana Toraja,8297.45,8888.54,10732.75,9871.66,10053.68,9677.8,10567,84.91,110.05,187.02,554.96,152.85,108.16,70,81.34,13,101.11,113.07,30.74,74.35,11,4732.32,3971.42,5881.77,5262.68,6012.62,5876.1,6078,477.28,1010.71,1147.32,919.72,856.64,794.37,795,2203.72,3072.46,2159.09,1509.47,1699.78,1923.83,2779,677.45,581.69,926.39,1432.13,1283.12,781.25,598,40.42,95.51,330.04,79.62,17.94,119.74,231,-,-,-,-,-,-,-,-,33.71,-,-,-,-,5
Luwu Utara,2368.56,2273.18,3864.52,2667.81,2928.29,3544.45,4409,163.14,177.19,321.7,424.1,289.64,510.62,528,29.66,-,-,-,-,-,-,168.4,267.23,546.12,179.99,314.2,192.63,147,894.34,1056.49,1865.09,1406.44,1509.61,2042.44,1918,815.14,597.27,853.25,510.18,683.42,546.55,1407,237.71,85,186.23,132.32,112.33,98.67,256,-,48.03,51.2,-,8.54,68.82,40,12.1,-,-,-,-,21.27,-,48.07,41.96,40.93,14.78,10.56,63.45,112
Luwu Timur,3191.82,4021.87,5357.31,5949.75,4745.95,5094.08,4959,434.2,790.07,827.71,750.38,134.98,321.19,299,-,-,12.55,-,-,-,-,540.95,418.49,568.54,938.66,269.74,653.53,90,1267.86,1967.99,2131.72,2702.15,2232.52,3077,3095,878.33,559.55,1694.61,1343.33,1235.39,638.03,673,4.97,141.27,86.64,109.94,528.27,127.6,288,0.23,43.36,14.62,-,345.05,263.58,491,-,29.49,-,-,-,-,12,65.28,71.66,20.91,105.29,-,13.15,11
Toraja Utara,7271.52,8876.56,10732.73,12355.25,10900.88,14584.27,9614,-,6.51,163.53,18.79,6.33,-,184,103.21,18.27,133.1,58.54,-,28.64,67,3935.86,5128.34,5633.17,8293.72,7613.67,10472.95,5163,528.07,466.98,1142.08,762.41,855.37,1066.23,1320,1890.96,1812.55,2282.44,1761.35,1626.2,2124.81,1924,635.79,1215.59,1083.52,1166.83,599.53,456.63,688,177.64,226.59,288.75,290.02,199.79,435.01,260,-,-,-,-,-,-,-,-,1.73,6.12,3.6,-,-,8
Kota Makasar,4391.4,4558.16,4514.57,5568.24,9753.59,7488.02,7637,481.7,787.2,766.17,1075.32,2200.88,1319.67,997,19.35,62.43,9.93,-,-,7.04,-,97.61,215.52,30.87,103.26,200.62,358.75,151,3154.07,2928.46,3354.44,3524.42,6058.33,4844.81,5400,453.72,268.73,217.43,572.16,620.62,241.01,264,21.06,43.81,23.75,63.23,160.96,22.78,19,22.97,136.2,44.89,66,458.63,610.84,741,-,-,-,-,8.78,-,-,140.93,115.81,67.09,163.86,44.76,83.13,64
Kota Parepare,2587.69,2920.78,2780.89,3853.55,3155.61,3944.9,3333,247.95,219.41,345.8,471.88,167.95,155.08,120,-,-,23.88,-,-,-,-,100.6,1.21,45.79,1.73,-,-,-,1483.46,2017.49,1866.58,2780.91,2292.99,3163.69,2630,356.47,118.64,268.34,320.5,181.55,281.16,232,382.21,448.29,166.57,209.7,342.68,223.51,135,-,105.26,61.27,10.1,166.98,113.06,213,7.32,-,-,-,-,-,-,9.67,10.48,2.66,58.74,3.46,8.41,3
Kota Palopo,3817.5,2622.38,3616.55,2836.78,4009.16,4744.33,4776,787.13,288.87,304.13,309.64,456.76,1258.7,451,-,-,-,-,56.89,0.38,-,192.15,383.64,225.83,115.86,243.62,48.3,-,1786.75,1482.11,2448.7,1752.79,2366.15,2911.65,3404,945.34,447.75,543.39,544.2,647.84,314.74,148,74.98,8.76,-,12.76,108.56,42.56,573,-,-,16.08,82.98,124,94.56,197,10.52,9.71,-,-,-,-,-,20.63,1.54,78.42,18.54,5.35,73.46,3
Buton,248.26,908.89,943.64,1354.58,1654.57,701.41,2385,-,150.84,100.82,103.43,75.55,31.12,3,-,5.14,-,-,-,-,-,-,89.33,-,-,39.04,77.26,-,98.7,323.21,278.33,644.01,798.3,314.74,1044,149.56,324.86,551.71,595.7,693.66,278.29,1337,-,15.5,12.77,-,48.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.44,-,-,-
Muna,535.02,1099.21,1034.38,699.7,684.65,1599.15,1037,5.39,146.66,78.14,23.97,65.47,290.93,6,-,-,-,-,-,-,-,-,43.05,31.62,18.63,41.13,41.72,-,189.65,370.47,183.59,230.99,198.77,371.09,149,288.59,473.2,740.44,405.96,379.03,809.72,869,4.64,65.82,-,20.15,-,78.27,-,-,-,0.59,-,0.25,7.41,12,-,-,-,-,-,-,-,46.77,-,-,-,-,-,1
Konawe,3281.11,4060.57,4909.57,5020.78,5761.7,4554.56,4736,924.83,1208.34,434.43,1253.89,1759.33,1266.31,1084,73.38,5.94,-,-,-,-,-,95.21,28.66,330.01,67.4,230.69,116.14,143,1175.26,1911.69,2738.26,2355.54,2925.08,2686.25,2534,895.2,694.26,1177.71,1120.19,737.15,424.64,695,49.15,69.65,98.26,206.1,42.25,51.89,116,-,-,-,-,50.58,9.32,94,30.25,127.12,-,12.85,16.64,-,21,37.82,14.92,130.91,4.8,-,-,48
