Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Karo,7998.57,8122.92,8982.41,10634.78,11708.24,12636.25,12310,1252.08,651.41,650.01,422.26,716.43,525.07,509,-,1.23,13.96,-,-,54.64,44,2736.32,2632.23,2242.89,2808.02,2916.81,4294,4633,2205.28,2137.67,2755.49,3787.66,3969.09,4979.24,4516,1623.11,2244.87,3071.49,2785.6,3607.75,2373.17,2364,118.43,199.71,31.71,540.92,298.28,156.82,29,-,37.34,-,17.61,102.91,13.41,29,-,22.56,-,-,-,5.32,36,63.36,195.91,216.86,272.72,96.97,234.58,151
Deli Serdang,4559.51,5342.24,5459.06,5647.69,8150.26,6625.43,6785,370.82,357.28,659.16,528.04,1181.47,629.76,400,-,-,57.92,43.11,15.53,21.22,9,344.65,291.56,152.69,187.5,387.36,544.88,519,3211.22,3819.42,3607.18,4062.97,5029.48,4803.15,4882,470.45,572.85,720.99,536.78,991.57,303.61,535,47.42,-,24.42,33,29.42,75.73,15,8.23,5.63,-,6.79,287.51,70.35,193,13.24,71.82,44.69,35.9,29.31,27.12,6,93.48,223.68,192.01,213.59,198.62,149.62,226
Langkat,2893.08,3531.73,3130.67,3516.42,6102.69,6233.32,5454,242.99,133.27,229.83,165.37,645.02,802.7,811,17.79,3.95,18.58,-,38.5,-,40,92.52,116.61,86.17,133.54,116.39,255.02,12,1903.33,2261.62,1833.44,2098.98,3315.5,3616.59,3478,468.3,904.73,787.83,832.31,1592.68,1046.7,832,72.89,6.2,17.2,31.82,-,57.35,51,2.79,-,-,1.04,62.98,209.68,57,15.85,27.96,19.42,38.63,62.97,14.6,40,76.62,77.39,138.19,214.74,268.66,230.68,134
Nias Selatan,6220.35,8075.53,8193.6,6200.38,6766.43,6596.99,8361,32.5,46.61,130.66,-,-,-,86,-,10.41,95.01,-,-,16.63,8,3803.5,4498.13,4852.77,490.23,2331.36,2104.94,2812,1191.64,1622.85,2372.1,3920.37,3224.88,3707.95,4166,1174.57,1801.32,693.67,1596.43,1137.93,509.79,1235,18.14,47.15,26.9,98.57,67.06,148.65,29,-,-,-,94.77,5.18,109.03,-,-,-,-,-,-,-,-,-,49.05,22.5,-,-,-,25
Humbang Hasundutan,4854.88,4953.33,4539.42,5361.07,6785.66,6663.63,8713,8.08,71.29,4.62,61.18,-,19.57,455,-,-,4.62,-,-,-,-,2806.64,2569.17,1563.74,1540.35,1779.05,2110.61,3115,666.12,942.89,971.83,1611.04,2708.54,2084.69,2528,1102.92,1334.67,1507.73,1452.34,1946.6,2057.13,1846,265.56,35.32,425.69,673.71,351.46,343.18,588,5.55,-,28.87,22.45,-,48.46,89,-,-,-,-,-,-,-,-,-,32.32,-,-,-,93
Pakpak Bharat,4825.78,6161.9,5960.96,5036.78,6972.62,9274.57,7488,79.77,102.92,115.46,137.4,276.15,82.85,157,-,-,-,-,37.28,111.7,-,1458.41,1924.71,806.42,1245.88,1523.29,2364.17,1891,1303.5,1229.19,1595.9,1619.07,2098.59,2796.07,2955,1817.28,2678.11,3084.15,1468.85,1918.62,2999.24,1780,142.36,219.65,286.65,557.4,1118.69,864.41,672,24.47,-,-,-,-,38.27,29,-,-,-,-,-,15.36,-,-,7.33,72.38,8.19,-,2.49,5
Samosir,5633.06,6344.77,6273.84,8125.64,8059.56,10700.7,14356,146.57,78.4,187.87,351.65,192.3,88.83,113,-,12.44,-,-,-,8.91,28,2235.08,2757.51,2233.81,2731.86,2668.84,3944.93,5498,716.01,802.83,1240.63,981.39,1676.5,2778.38,3463,1809.61,1641.49,2101.68,2309.25,2081.93,2762.47,3931,653.74,1007.62,489.53,1507.84,1407.74,989.52,1247,40.35,30.77,12.79,223.07,32.24,98.04,69,-,-,-,2.6,-,-,-,31.7,13.7,7.54,17.98,-,29.61,7
Serdang Bedagai,3060.15,3110.54,3126.62,3423.87,3513.2,5168.26,5233,99.65,200.12,220.49,315.62,161.26,618.97,726,6.04,56.91,42.98,17.75,52.55,193.42,-,330.54,132.43,75.96,136.63,279.99,321.79,305,1657.4,1621.75,1910.71,1980.38,2231.21,3125.94,2588,719.54,956.77,688.81,799.56,635.85,733.21,1112,112.77,61.47,8.81,63.36,30.28,57.1,290,12.61,-,15.15,-,49.82,31.45,77,12,46.29,18.81,14.3,2.46,11.66,78,109.6,34.79,144.91,96.28,69.77,74.71,56
Batu Bara,2595.48,2998.89,2581.84,2839.87,4269.11,4444.91,3809,60.01,135.09,260.93,273.73,576.39,384.46,196,5.71,-,50.34,40.27,66.06,-,22,126.3,127.63,34.62,89.83,17.85,6.93,87,1546.78,1841.58,1595.28,1978.41,2959.06,3143.81,2826,767.8,798.81,531.14,377.43,363.35,647.44,344,59.12,49.83,35.58,42.09,113.88,40.6,197,-,-,-,-,112.45,110.85,52,12.32,-,22.23,3.9,3.68,-,21,17.44,45.96,51.71,34.21,56.4,110.82,64
Padang Lawas Utara,2689.53,2822.87,2947.79,3379.45,5012.21,3365.66,4339,358.98,159.76,836.78,347.89,802.09,441.18,357,-,-,-,-,15.42,4.82,-,54.03,76.38,77.47,71.63,207.94,20.91,20,1682.48,1825.09,1565.14,2311.9,3248.47,2568.68,3504,443.86,734.07,455.12,541.76,660.21,178.72,338,107.01,9.66,7.8,45.67,-,-,91,-,-,-,-,31.03,68.39,12,-,-,-,5.51,-,-,-,43.16,17.9,5.49,55.08,47.04,82.96,17
