Nama Wilayah,Angka Morbiditas menurut Wilayah (Persen),,,,,
Berau,14.44,,,,,
Penajam Paser Utara,9.2,,,,,
Mahakam Hulu,8.58,,,,,
Kota Balikpapan,8.71,,,,,
Kota Samarinda,15.05,,,,,
Kota Bontang,13.19,,,,,
KALIMANTAN UTARA,13.61,,,,,
Malinau,12.11,,,,,
Bulungan,17.92,,,,,
Tana Tidung,17.59,,,,,
Nunukan,12.83,,,,,
Kota Tarakan,12.03,,,,,
SULAWESI UTARA,15.32,,,,,
Bolaang Mongondow,18.23,,,,,
Minahasa,16.45,,,,,
Kepulauan Sangihe,20.15,,,,,
Kepulauan Talaud,19.49,,,,,
Minahasa Selatan,13.84,,,,,
Minahasa Utara,14.99,,,,,
Bolaang Mongondow Utara,16.81,,,,,
Siau Tagulandang Biaro,14.11,,,,,
Minahasa Tenggara,19.82,,,,,
Bolaang Mongondow Selatan,18.57,,,,,
Bolaang Mongondow Timur,17.79,,,,,
Kota Manado,10.18,,,,,
Kota Bitung,14.99,,,,,
Kota Tomohon,11.92,,,,,
Kota Kotamobagu,15.28,,,,,
SULAWESI TENGAH,17.77,,,,,
Banggai Kepulauan,13.17,,,,,
Banggai,23.05,,,,,
Morowali,12.89,,,,,
Poso,18.49,,,,,
Donggala,21.19,,,,,
Toli-Toli,16.54,,,,,
Buol,18.28,,,,,
Parigi Moutong,15.32,,,,,
Tojo Una-Una,13.99,,,,,
Sigi,19.02,,,,,
Banggai Laut,12.79,,,,,
Morowali Utara,16.45,,,,,
Kota Palu,18.23,,,,,
SULAWESI SELATAN,14.3,,,,,
Kepulauan Selayar,9.7,,,,,
Bulukumba,12.95,,,,,
Bantaeng,21.13,,,,,
Jeneponto,15.13,,,,,
Takalar,19.37,,,,,
Gowa,18.42,,,,,
Sinjai,15.3,,,,,
Maros,18.99,,,,,
Pangkajene Dan Kepulauan,14.37,,,,,
Barru,9.54,,,,,
Bone,13.47,,,,,
Soppeng,8.69,,,,,
Wajo,10.44,,,,,
Sidenreng Rappang,14.84,,,,,
Pinrang,16.04,,,,,
Enrekang,10.98,,,,,
Luwu,12.57,,,,,
Tana Toraja,11.14,,,,,
Luwu Utara,15.22,,,,,
Luwu Timur,14.91,,,,,
Toraja Utara,10.71,,,,,
Kota Makassar,13.68,,,,,
Kota Parepare,14.07,,,,,
Kota Palopo,13.37,,,,,
SULAWESI TENGGARA,15.31,,,,,
Buton,18.36,,,,,
Muna,19.82,,,,,
Konawe,20.32,,,,,
Kolaka,13.84,,,,,
Konawe Selatan,17.82,,,,,
Bombana,12.34,,,,,
Wakatobi,10.28,,,,,
Kolaka Utara,13.49,,,,,
Buton Utara,14.18,,,,,
Konawe Utara,14.58,,,,,
Kolaka Timur,14.14,,,,,
Konawe Kepulauan,14.33,,,,,
Muna Barat,19.63,,,,,
Buton Tengah,9.08,,,,,
Buton Selatan,19.75,,,,,
Kota Kendari,10.45,,,,,
Kota Baubau,17.45,,,,,
GORONTALO,22.22,,,,,
Boalemo,23.51,,,,,
Gorontalo,23.52,,,,,
Pohuwato,24.61,,,,,
Bone Bolango,21.41,,,,,
Gorontalo Utara,18.8,,,,,
Kota Gorontalo,19.61,,,,,
SULAWESI BARAT,15.6,,,,,
Majene,13.22,,,,,
Polewali Mandar,14.48,,,,,
Mamasa,19.04,,,,,
Mamuju,17.5,,,,,
Mamuju Utara,13.87,,,,,
Mamuju Tengah,16.28,,,,,
MALUKU,11.19,,,,,
Maluku Tenggara Barat,11.41,,,,,
Maluku Tenggara,12.69,,,,,
Maluku Tengah,7.98,,,,,
Buru,17.08,,,,,
Kepulauan Aru,8.92,,,,,
Seram Bagian Barat,10.58,,,,,
Seram Bagian Timur,15.01,,,,,
Maluku Barat Daya,10.01,,,,,
Buru Selatan,15.05,,,,,
Kota Ambon,10.3,,,,,
Kota Tual,15.65,,,,,
MALUKU UTARA,10.74,,,,,
Halmahera Barat,10.65,,,,,
Halmahera Tengah,10.5,,,,,
Kepulauan Sula,9.16,,,,,
Halmahera Selatan,11.46,,,,,
Halmahera Utara,8.83,,,,,
Halmahera Timur,10.17,,,,,
Pulau Morotai,14.16,,,,,
Pulau Taliabu,8.77,,,,,
Kota Ternate,11.72,,,,,
Kota Tidore Kepulauan,11.68,,,,,
PAPUA BARAT,10.86,,,,,
Fakfak,11.29,,,,,
Kaimana,14.1,,,,,
Teluk Wondama,10.38,,,,,
Teluk Bintuni,12.58,,,,,
Manokwari,9.46,,,,,
Sorong Selatan,8.14,,,,,
Sorong,12.25,,,,,
Raja Ampat,15.66,,,,,
Tambrauw,4.36,,,,,
Maybrat,12.98,,,,,
Manokwari Selatan,8.9,,,,,
Pegunungan Arfak,7.64,,,,,
Kota Sorong,10.24,,,,,
PAPUA BARAT DAYA,-,,,,,
Raja Ampat,-,,,,,
Sorong,-,,,,,
Sorong Selatan,-,,,,,
Maybrat,-,,,,,
Tambrauw,-,,,,,
Kota Sorong,-,,,,,
PAPUA,8.03,,,,,
Merauke,11.24,,,,,
Jayawijaya,10.71,,,,,
Jayapura,11.12,,,,,
